Name	Partei	Beruf
Dittmar, Sabine	SPD	Ärztin
Djir-Sarai, Bijan	FDP	Diplom-Kaufmann
Dobrindt, Alexander	CDU/CSU	Diplom-Soziologe
Domscheit-Berg, Anke	Die Linke	Publizistin
Donth, Michael	CDU/CSU	Diplom-Verwaltungswirt
Döring, Felix	SPD	Lehrer
Dröge, Katharina	Grüne	Diplom-Volkswirtin
Droßmann, Falko	SPD	Oberstleutnant der Luftwaffe
Düring, Deborah	Grüne	Studentin
Dürr, Christian	FDP	Diplom-Ökonom
Durz, Hansjörg	CDU/CSU	Diplom-Kaufmann
Ebner, Harald	Grüne	Diplom-Agraringenieur
Echeverria, Axel	SPD	Angestellter
Eckert, Leon	Grüne	Kommunalreferent
Edelhäußer, Ralph	CDU/CSU	Erster Bürgermeister
Ehrhorn, Thomas	AfD	Pilot
Eichwede, Sonja	SPD	Richterin
Emmerich, Marcel	Grüne	Wissenschaftlicher Referent
Engelhard, Alexander	CDU/CSU	Müller, Diplom-Wirtschaftsingenieur (FH)
Engelhardt, Heike	SPD	Redakteurin
Englhardt-Kopf, Martina	CDU/CSU	Studiendirektorin
Erndl, Thomas	CDU/CSU	Elektroingenieur
Ernst, Klaus	Die Linke	Diplom-Volkswirt, Diplom-Sozialökonom
Esdar, Dr. Wiebke	SPD	Diplom-Psychologin
Esken, Saskia	SPD	Informatikerin
Espendiller, Dr. Michael	AfD	Mathematiker
Faber, Dr. Marcus	FDP	Politologe
Fahimi, Yasmin	SPD	Diplom-Chemikerin
Färber, Hermann	CDU/CSU	Landwirtschaftsmeister
Farle, Robert	AfD	Rechtsanwalt,  Steuerberater
Fäscher, Ariane	SPD	Pressesprecherin
Fechner, Dr. Johannes	SPD	
Feiler, Uwe	CDU/CSU	Diplom-Finanzwirt
Felser, Peter	AfD	Diplom-Pädagoge
Ferlemann, Enak	CDU/CSU	
Ferschl, Susanne	Die Linke	Chemielaborantin/Wirtschaftsmediatorin
